Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price,Effective Year,Price Per Sq Meter,Property History Count,EPC Category
"Bristol, City of",2022-07-01,938,House/Houses,St Pius X RC VA Primary School House,St Pius X RC VA Primary School House Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100.0,168096.0,Education Acts Agt,,Land And Building(S),95.0,0.044093,Yes,Direct Service,,,,"2013, 2016, 2021, 2023, 2025",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,941,Land-Unused Land,Former Fulford Centre,Former Fulford Centre Fulford Road Hartcliffe Bristol BS13 9PB,,,,BS13 ,Hartcliffe & Withywood,358140.0,168000.0,Freehold,Vacant,Land Only,0.0,0.65335,,Surplus / Non-operational / Under Review,E,1800.0,,"2014, 2015, 2016, 2017, 2021",291200.0,,2022.0,0.0,5,Low
"Bristol, City of",2022-07-01,949,House/Houses,St Bernadettes RC VA Primary School House,St Bernadettes RC VA Primary School House 17 Gladstone Road Hengrove Bristol BS14 9LP,17.0,Gladstone Road,Bristol,BS14 9LP,Hengrove & Whitchurch Park,360909.0,168735.0,Education Acts Agt,,Building(S) Only,95.0,0.045447,Yes,Direct Service,,,,"2010, 2014, 2016, 2020, 2021, 2024",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,950,House Service Occupancy,St Bernadettes RC SA Secondary School House,St Bernadettes RC SA Secondary School House Fossedale Avenue Hengrove Bristol BS14 9LS,,Fossedale Avenue,Bristol,BS14 9LS,Hengrove & Whitchurch Park,360969.0,168732.0,Freehold,,Land And Building(S),95.0,0.0488,Yes,Direct Service,,,,"2013, 2016, 2018, 2020, 2021, 2022",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,139020,Land-Residential,Fulford Road - Land Rear Of 95-105,Fulford Road - Land Rear Of 95-105 Fulford Road Hartcliffe Bristol BS13 0AD,,,,BS13 ,Hartcliffe & Withywood,358345.0,168053.0,Freehold,Vacant,Land Only,95.0,0.121965,Yes,Direct Service,,,,"2016, 2017, 2021, 2022, 2024",,,2022.0,0.0,5,Unknown
"Bristol, City of",2022-07-01,973,House/Houses,Waycroft Academy House,Waycroft Academy House Selden Road Stockwood Bristol BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362193.0,168384.0,Freehold Reversion,,Land And Building(S),84.1,0.058564,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2011, 2012, 2013, 2016, 2017, 2021, 2024",291200.0,,2022.0,3462.5445897740788,7,Low
"Bristol, City of",2022-07-01,985,House/Houses,Four Acres Primary School House,Four Acres Primary School House 93 Four Acres Withywood Bristol BS13 8RB,93.0,Four Acres,Bristol,BS13 8RB,Hartcliffe & Withywood,356375.0,167849.0,Freehold,,Land And Building(S),95.0,0.0327,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2013, 2014, 2016, 2021, 2025",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,1000,House Service Occupancy,Teyfant Primary School (Former) - School House,Teyfant Primary School (Former) - School House Teyfant Road Hartcliffe Bristol BS13 0RG,,Teyfant Road,Bristol,BS13 0RF,Hengrove & Whitchurch Park,359046.0,167537.0,Freehold,,Land And Building(S),95.0,0.027271,Yes,Direct Service,,,,"2014, 2015, 2016, 2019, 2021, 2022",,,2022.0,0.0,6,Unknown
"Bristol, City of",2022-07-01,1358,Land-Verge,Wedmore Vale - Land Fronting 32,Wedmore Vale - Land Fronting 32 Wedmore Vale Bedminster Bristol,32.0,Wedmore Vale,Bristol,BS3 5HX,Filwood,359117.0,170765.0,Freehold,,Land Only,95.0,0.0016,,Infrastructure,,,,"2014, 2016, 2021, 2024",,,2022.0,0.0,4,Unknown
"Bristol, City of",2022-07-01,1261,Land-Verge,Dorset Road - Land Adj 15,Dorset Road - Land Adj 15 Dorset Road Henleaze Bristol,15.0,Dorset Road,Bristol,BS9 4BJ,Westbury-on-Trym & Henleaze,357792.0,176957.0,Freehold,,Land Only,95.0,0.001233,,Infrastructure,,,,"2010, 2013, 2016, 2020, 2021",,,2022.0,0.0,5,Unknown
